item_id,split_name,Temparature,Humidity ,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,model_name,prompt_version,model_fertilizer,explanation,confidence_statement,uncertainty_or_caution,decision_support_notes,result_model_id,actual_fertilizer,is_model_fertilizer_exact_match,grader_ethan_recommendation_correctness,grader_ethan_explanation_relevance,grader_ethan_clarity,grader_ethan_uncertainty_calibration,grader_ethan_decision_support_usefulness,grader_rachel_recommendation_correctness,grader_rachel_explanation_relevance,grader_rachel_clarity,grader_rachel_uncertainty_calibration,grader_rachel_decision_support_usefulness
FERT-012,split-0-100,31,62,48,Sandy,Maize,14,15,12,gemini,model-instructions-v4,17-17-17,"Maize needing 14 N, 15 K, and 12 P indicates a balanced 17-17-17 application is best.",The near-equal triad of nutrient demands makes 17-17-17 the unquestionable choice.,Sandy soil at 48 moisture requires careful monitoring to ensure K is not washed away.,The 31C heat and 62% humidity will drive rapid Maize metabolism of these nutrients.,gemini-pro,17-17-17,true,correct,4,3,1,3,correct,4,3,1,3
FERT-013,split-0-100,25,50,65,Loamy,Cotton,36,0,0,gemini,model-instructions-v4,Urea,Loamy soil hosting Cotton with a 36 N deficit and no P/K needs requires pure Urea.,High certainty for Urea given the strictly nitrogen-only profile.,High 65 moisture at a cooler 25C could lead to waterlogging; apply carefully.,Utilize the 50% humidity window to top-dress the Cotton effectively.,gemini-pro,Urea,true,correct,4,3,2,3,correct,4,3,3,3
FERT-014,split-0-100,32,62,41,Clayey,Paddy,24,0,22,gemini,model-instructions-v4,28-28,Paddy demanding 24 N and 22 P in Clayey soil is a textbook case for 28-28.,The 1:1 ratio of high N and P with zero K makes 28-28 highly reliable.,"Clayey conditions at 41 moisture are decent, but 32C heat could cause crusting.",28-28 will support steady tillering under 62% humidity conditions.,gemini-pro,28-28,true,correct,4,3,3,3,correct,4,3,3,3
FERT-015,split-0-100,26,52,31,Red,Ground Nuts,14,0,41,gemini,model-instructions-v4,DAP,Ground Nuts needing an extreme 41 P and just 14 N in Red soil mandate DAP.,The near 1:3 N to P ratio without any K securely points to DAP.,Low 31 moisture in Red soil requires immediate watering post-application.,The 26C ambient temp is perfect for steady DAP breakdown.,gemini-pro,DAP,true,correct,4,3,2,3,correct,4,3,2,3
FERT-016,split-0-100,31,62,49,Black,Sugarcane,10,13,14,gemini,model-instructions-v4,17-17-17,"Even demands of 10 N, 13 K, and 14 P for Sugarcane mean 17-17-17 is the right fit.",A balanced NPK footprint in this Black soil confirms 17-17-17 as the best route.,"49 moisture is adequate, but ensure the 31C heat doesn't stress the Sugarcane roots.",Optimal all-around nutrition during 62% humidity phases.,gemini-pro,17-17-17,true,correct,4,3,2,3,correct,4,3,2,3
FERT-017,split-0-100,33,64,34,Clayey,Pulses,38,0,0,gemini,model-instructions-v4,Urea,A heavy 38 N demand for Pulses in Clayey soil with zero other needs means Urea.,0 P and 0 K makes Urea the only logical step for this plot.,Dry Clayey soil at 34 moisture might restrict Urea uptake; hydration is key.,Apply Urea to boost vegetative growth while temps hold at 33C.,gemini-pro,Urea,true,correct,4,3,1,3,correct,4,3,1,3
FERT-018,split-0-100,25,50,39,Sandy,Barley,21,0,19,gemini,model-instructions-v4,28-28,Barley requiring 21 N and 19 P in Sandy earth is perfectly served by 28-28.,The matching moderate N and P gap with no K confirms 28-28.,Sandy drainage at 39 moisture is moderate; watch for uneven crop coloring.,28-28 supports early Barley development well at a cool 25C.,gemini-pro,28-28,true,correct,4,3,2,3,correct,4,3,2,3
FERT-019,split-0-100,28,54,65,Black,Cotton,39,0,0,gemini,model-instructions-v4,Urea,Cotton in wet Black soil needing 39 N exclusively dictates a Urea application.,High certainty due to the 39-0-0 complete nitrogen isolation.,Excessive 65 moisture in Black soil risks denitrification; apply cautiously.,The 54% humidity is favorable for Urea integration at 28C.,gemini-pro,Urea,true,correct,4,3,2,3,correct,4,3,3,3
FERT-020,split-0-100,29,58,52,Loamy,Wheat,13,0,36,gemini,model-instructions-v4,DAP,Wheat needing 36 Phosphorous and 13 Nitrogen in Loamy soil aligns directly with DAP.,Zero K and heavily skewed P needs make DAP a highly confident choice.,"52 moisture is great, but ensure the 29C heat doesn't dry the topsoil too fast.",DAP will strengthen Wheat root systems under these 58% humidity conditions.,gemini-pro,DAP,true,correct,4,3,2,3,correct,4,3,2,3
FERT-021,split-0-100,30,60,44,Sandy,Millets,10,0,9,gemini,model-instructions-v4,20-20,Low but equal needs of 10 N and 9 P for Millets point to a 20-20 blend.,The minor 1:1 N to P deficit is exactly what 20-20 is formulated to correct.,Sandy soil at 44 moisture might leach the 20-20 if overwatered.,The 30C temperature provides a good metabolic rate for Millets to use this.,gemini-pro,20-20,true,correct,4,3,3,3,correct,4,3,3,3
FERT-022,split-0-100,34,65,53,Loamy,Sugarcane,12,14,12,gemini,model-instructions-v4,17-17-17,"Sugarcane demanding 12 N, 14 K, and 12 P requires the balanced nutrition of 17-17-17.",Near identical NPK demands in Loamy soil make 17-17-17 the unquestioned choice.,"At 53 moisture and 34C, salt burn from balanced NPK is a slight risk; monitor closely.",65% humidity will help the Sugarcane process the 17-17-17 efficiently.,gemini-pro,17-17-17,true,correct,4,3,1,3,correct,4,3,1,3
FERT-023,split-0-100,35,68,33,Red,Tobacco,11,0,37,gemini,model-instructions-v4,DAP,Tobacco in Red soil needing 37 P and just 11 N requires the phosphorous-heavy DAP.,The 1:3 ratio with zero potassium strongly supports a DAP application.,Red soil at a low 33 moisture under 35C heat will severely limit nutrient mobility.,Irrigation is critical to activate the DAP at 68% humidity.,gemini-pro,DAP,true,correct,4,3,3,4,correct,4,3,3,3
FERT-024,split-0-100,28,54,37,Black,Millets,36,0,0,gemini,model-instructions-v4,Urea,Millets requiring 36 Nitrogen with no other deficits in Black soil need Urea.,Total lack of K/P requirements guarantees Urea is the right path.,Black soil cracking at 37 moisture could expose Urea to air; incorporate it well.,Optimal 28C conditions for Millets to absorb the nitrogen spike.,gemini-pro,Urea,true,correct,4,3,1,3,correct,4,3,1,3
FERT-025,split-0-100,33,64,39,Clayey,Paddy,13,0,10,gemini,model-instructions-v4,20-20,Clayey Paddy fields needing 13 N and 10 P are best serviced by 20-20.,"The low, balanced N and P demand without K confirms 20-20.",39 moisture in Clayey dirt at 33C might cause surface crusting over the fertilizer.,20-20 supports steady early growth during 64% humidity.,gemini-pro,20-20,true,correct,4,3,2,3,correct,4,3,2,3
FERT-026,split-0-100,26,52,44,Sandy,Maize,23,0,20,gemini,model-instructions-v4,28-28,Maize demanding 23 N and 20 P in Sandy soil requires the 28-28 formulation.,A strong match given the synchronized moderate N and P gap.,Sandy fields at 44 moisture drain well; ensure the 28-28 isn't washed past the root zone.,Apply at 26C to encourage robust stalk growth in the Maize.,gemini-pro,28-28,true,correct,4,3,3,3,correct,4,3,3,3
FERT-027,split-0-100,30,60,63,Red,Cotton,9,9,29,gemini,model-instructions-v4,14-35-14,"Cotton needing 29 P, 9 K, and 9 N in Red soil perfectly matches 14-35-14.",Confident choice due to the classic 1:3:1 NPK signature of this row.,High 63 moisture in Red soil requires caution to prevent root rot at 30C.,The 60% humidity is excellent for boll development aided by this fertilizer.,gemini-pro,14-35-14,true,correct,4,3,3,3,correct,4,3,3,3
FERT-028,split-0-100,32,62,30,Loamy,Sugarcane,38,0,0,gemini,model-instructions-v4,Urea,Sugarcane with a massive 38 N requirement and zero P/K needs Urea immediately.,The 38-0-0 profile leaves Urea as the definitive recommendation.,Low 30 moisture in Loamy soil at 32C means volatilization is a high risk.,Water the field thoroughly during 62% humidity to sink the Urea.,gemini-pro,Urea,true,correct,4,3,1,3,correct,4,3,1,3
FERT-029,split-0-100,37,70,32,Black,Oil seeds,12,0,39,gemini,model-instructions-v4,DAP,Oil seeds demanding 39 P and 12 N in Black soil are a prime candidate for DAP.,Zero K and heavily skewed P needs make DAP a highly confident choice here.,Extreme 37C heat and low 32 moisture might cause heat stress; apply carefully.,DAP will fortify Oil seed roots if properly watered under 70% humidity.,gemini-pro,DAP,true,correct,4,3,3,3,correct,4,3,3,3
FERT-030,split-0-100,26,52,36,Clayey,Pulses,14,0,13,gemini,model-instructions-v4,20-20,Pulses needing 14 N and 13 P in Clayey soil align beautifully with 20-20.,The 1:1 N to P ratio strictly points to 20-20 over other blends.,Clay at 36 moisture might be hard to work the 20-20 into without tilling.,Cool 26C weather provides a safe window for Pulses fertilization.,gemini-pro,20-20,true,correct,4,3,3,3,correct,4,3,3,3
FERT-031,split-0-100,29,58,40,Red,Ground Nuts,24,0,23,gemini,model-instructions-v4,28-28,Ground Nuts demanding 24 N and 23 P in Red soil require the 28-28 balance.,Equal mid-range N and P without K makes 28-28 the most accurate selection.,"Red soil at 40 moisture is stable, but watch for sudden drying at 29C.",28-28 promotes excellent pegging for Ground Nuts at 58% humidity.,gemini-pro,28-28,true,correct,4,3,3,3,correct,4,3,3,3
FERT-032,split-0-100,30,60,27,Loamy,Sugarcane,12,0,40,gemini,model-instructions-v4,DAP,A high 40 P and low 12 N need for Sugarcane in Loamy dirt mandates DAP.,The near 1:3 ratio with zero potassium securely points to DAP.,Very low 27 moisture at 30C means the DAP won't activate without irrigation.,Water deeply to ensure Sugarcane roots access the DAP.,gemini-pro,DAP,true,correct,4,3,2,3,correct,4,3,2,3
FERT-033,split-0-100,34,65,38,Clayey,Paddy,39,0,0,gemini,model-instructions-v4,Urea,Paddy in Clayey soil needing 39 N and nothing else requires pure Urea.,High certainty for Urea given the complete lack of K and P demand.,Clayey soil at 38 moisture might crack at 34C; ensure proper flooding for Paddy.,65% humidity will assist in Urea breakdown once the field is wet.,gemini-pro,Urea,true,correct,4,3,3,3,correct,4,3,3,3
FERT-034,split-0-100,36,68,38,Sandy,Barley,7,9,30,gemini,model-instructions-v4,14-35-14,"Barley needing 30 P, 9 K, and 7 N in Sandy soil matches the 14-35-14 profile.",The exact 1:4:1 nutrient gap corresponds directly to a 14-35-14 application.,Sandy soil at 36C and 38 moisture risks scorching the roots; apply cautiously.,The 68% humidity will help mitigate the extreme heat during application.,gemini-pro,14-35-14,true,correct,4,3,3,3,correct,4,3,3,3
FERT-035,split-0-100,26,52,48,Loamy,Wheat,23,0,19,gemini,model-instructions-v4,28-28,Wheat demanding 23 N and 19 P in Loamy earth is best served by 28-28.,Confident in 28-28 due to the simultaneous moderate N and P deficits.,Loamy soil at 48 moisture provides excellent conditions for nutrient uptake.,Apply 28-28 to boost Wheat tillering under comfortable 26C weather.,gemini-pro,28-28,true,correct,4,3,3,3,correct,4,3,3,3
FERT-036,split-0-100,28,54,35,Black,Millets,41,0,0,gemini,model-instructions-v4,Urea,Millets with an extreme 41 N deficit in Black soil must be treated with Urea.,The 41-0-0 profile leaves Urea as the definitive and only recommendation.,Black soil at 35 moisture is quite dry; Urea might sit on the surface and volatilize.,Watering is necessary to pull the Urea into the root zone at 28C.,gemini-pro,Urea,true,correct,4,3,1,3,correct,4,3,1,3
FERT-037,split-0-100,30,60,61,Loamy,Cotton,8,10,31,gemini,model-instructions-v4,14-35-14,"Cotton demanding 31 P, 10 K, and 8 N in Loamy soil perfectly matches 14-35-14.",High certainty due to the classic 1:4:1 NPK signature required here.,"High 61 moisture in Loamy soil is good, but watch for fungal outbreaks at 30C.",14-35-14 will strongly support boll formation during 60% humidity.,gemini-pro,14-35-14,true,correct,4,3,3,3,correct,4,3,3,3
FERT-038,split-0-100,37,70,37,Clayey,Paddy,12,0,41,gemini,model-instructions-v4,DAP,Paddy needing 41 P and just 12 N in Clayey soil requires the phosphorous kick of DAP.,The 1:3 ratio with zero potassium strongly supports a DAP top-dress.,Extreme 37C heat requires the Clayey soil to be fully flooded to protect Paddy.,DAP will strengthen root systems once incorporated at 70% humidity.,gemini-pro,DAP,true,correct,4,3,3,3,correct,4,3,3,3
FERT-039,split-0-100,25,50,26,Red,Ground Nuts,15,14,11,gemini,model-instructions-v4,17-17-17,"Even demands of 15 N, 14 K, and 11 P for Ground Nuts mean 17-17-17 is ideal.",A balanced NPK footprint in this Red soil confirms 17-17-17 is the right path.,Very low 26 moisture means the fertilizer won't activate without immediate rain or watering.,Cool 25C temp provides a safe window for balanced nutrition.,gemini-pro,17-17-17,true,correct,4,3,3,3,correct,4,3,3,3
FERT-040,split-0-100,29,58,34,Sandy,Millets,15,0,37,gemini,model-instructions-v4,DAP,Millets needing 37 P and 15 N in Sandy soil align directly with DAP.,Zero K and heavily skewed P needs make DAP a confident choice.,Sandy soil at 34 moisture will not hold the DAP long if heavy rain occurs.,Apply at 29C to support early Millet root anchoring.,gemini-pro,DAP,true,correct,4,3,3,3,correct,4,3,3,3
FERT-041,split-0-100,27,54,30,Clayey,Pulses,13,0,13,gemini,model-instructions-v4,20-20,Pulses demanding exactly 13 N and 13 P in Clayey soil are perfectly suited for 20-20.,The precise 1:1 N to P deficit is exactly what 20-20 corrects.,Clay at 30 moisture is dry; tilling might be needed to get the 20-20 in.,27C and 54% humidity is excellent for steady Pulses growth.,gemini-pro,20-20,true,correct,4,3,2,3,correct,4,3,2,3
FERT-042,split-0-100,30,60,58,Loamy,Sugarcane,10,7,32,gemini,model-instructions-v4,14-35-14,"Sugarcane needing 32 P, 7 K, and 10 N in Loamy soil strictly requires 14-35-14.",Confident choice due to the low N/K and high P requirements of this plot.,Good 58 moisture allows for excellent dispersion of the 14-35-14 blend.,The 30C weather is warm enough to trigger active Sugarcane growth.,gemini-pro,14-35-14,true,correct,5,3,3,3,correct,4,3,3,3
FERT-043,split-0-100,32,62,34,Red,Tobacco,22,0,24,gemini,model-instructions-v4,28-28,Tobacco requiring 22 N and 24 P in Red soil mandates a 28-28 application.,Equal mid-range N and P without K makes 28-28 the most accurate selection.,Red soil at 34 moisture might restrict nutrient mobility at 32C.,Apply during 62% humidity to improve soil integration for Tobacco.,gemini-pro,28-28,true,correct,4,3,3,3,correct,4,3,3,3
FERT-044,split-0-100,34,65,60,Black,Sugarcane,35,0,0,gemini,model-instructions-v4,Urea,Sugarcane in Black soil needing 35 N and nothing else must receive Urea.,Total lack of K/P requirements guarantees Urea is the optimal path.,Black soil with 60 moisture at 34C risks severe nitrogen loss to the air.,Ensure immediate soil incorporation under these 65% humidity conditions.,gemini-pro,Urea,true,correct,4,3,1,3,correct,4,3,1,3
FERT-045,split-0-100,35,67,42,Sandy,Barley,10,0,35,gemini,model-instructions-v4,DAP,Barley needing 35 P and just 10 N in Sandy soil requires DAP.,The near 1:3 ratio with zero potassium securely points to DAP.,Sandy soil at 35C risks heat stress; ensure adequate water for the Barley.,DAP will fortify root systems if properly watered under 67% humidity.,gemini-pro,DAP,true,correct,4,3,2,3,correct,4,3,2,3
FERT-046,split-0-100,38,70,48,Loamy,Wheat,8,8,28,gemini,model-instructions-v4,14-35-14,"Wheat demanding 28 P, 8 K, and 8 N in Loamy soil fits the 14-35-14 profile well.",The exact low N/K and high P gap corresponds directly to 14-35-14.,Extreme 38C heat requires careful timing to avoid burning the Wheat.,The 70% humidity will help mitigate the intense heat during application.,gemini-pro,14-35-14,true,correct,4,3,2,3,correct,4,3,2,3
FERT-047,split-0-100,26,52,32,Black,Oil seeds,12,0,8,gemini,model-instructions-v4,20-20,Oil seeds needing 12 N and 8 P in Black soil are best serviced by 20-20.,"The low, balanced N and P demand without K confirms 20-20 is best.",Black soil cracking at 32 moisture could expose the fertilizer; incorporate it.,20-20 supports steady early growth at a comfortable 26C.,gemini-pro,20-20,true,correct,4,3,3,3,correct,4,3,3,3
FERT-048,split-0-100,29,58,43,Clayey,Paddy,24,0,18,gemini,model-instructions-v4,28-28,Paddy requiring 24 N and 18 P in Clayey earth is perfectly served by 28-28.,The matching moderate N and P gap with no K confirms 28-28.,Clayey conditions at 43 moisture are decent for Paddy nutrient uptake.,28-28 supports steady tillering under 58% humidity conditions.,gemini-pro,28-28,true,correct,4,3,3,3,correct,4,3,3,3
FERT-049,split-0-100,30,60,29,Red,Ground Nuts,41,0,0,gemini,model-instructions-v4,Urea,Ground Nuts with an extreme 41 N deficit in Red soil strictly dictate Urea.,The 41-0-0 profile leaves Urea as the definitive recommendation here.,Very low 29 moisture in Red soil at 30C means volatilization is a massive risk.,Water the field thoroughly during 60% humidity to sink the Urea.,gemini-pro,Urea,true,correct,4,3,1,3,correct,4,3,1,3
FERT-050,split-0-100,33,64,51,Sandy,Maize,5,9,29,gemini,model-instructions-v4,14-35-14,"Maize needing 29 P, 9 K, and 5 N in Sandy soil matches the 14-35-14 blend.",Confident choice due to the classic 1:4:1 NPK signature required.,Sandy soil drains well at 51 moisture; ensure nutrients aren't washed past roots.,14-35-14 will strongly support Maize stalk formation at 33C.,gemini-pro,14-35-14,true,correct,4,3,3,3,correct,4,3,3,3
FERT-051,split-0-100,34,65,31,Red,Tobacco,23,0,21,gemini,model-instructions-v4,28-28,Tobacco demanding 23 N and 21 P in Red soil mandates a 28-28 application.,Equal mid-range N and P without K makes 28-28 the most accurate selection.,Red soil at 31 moisture might severely restrict nutrient mobility at 34C.,Apply during 65% humidity to improve soil integration for Tobacco.,gemini-pro,28-28,true,correct,4,3,3,3,correct,4,3,3,3
FERT-052,split-0-100,36,68,33,Black,Oil seeds,13,0,14,gemini,model-instructions-v4,20-20,Oil seeds needing exactly 13 N and 14 P in Black soil are perfectly suited for 20-20.,The precise 1:1 N to P deficit is exactly what 20-20 is meant to correct.,Black soil at 36C and 33 moisture is dangerously dry; watering is mandatory.,20-20 supports steady Oil seed growth if hydration is provided.,gemini-pro,20-20,true,correct,4,3,3,3,correct,4,3,3,3
FERT-053,split-0-100,28,54,38,Clayey,Pulses,40,0,0,gemini,model-instructions-v4,Urea,Pulses in Clayey soil needing 40 N and nothing else must receive Urea.,Total lack of K/P requirements guarantees Urea is the optimal path.,Clayey soil with 38 moisture risks some nitrogen loss if not mixed in.,Optimal 28C conditions for Pulses to absorb the nitrogen spike.,gemini-pro,Urea,true,correct,4,3,1,3,correct,4,3,1,3
FERT-054,split-0-100,30,60,47,Sandy,Barley,12,0,42,gemini,model-instructions-v4,DAP,Barley requiring 42 P and 12 N in Sandy soil is a textbook case for DAP.,Zero K and heavily skewed P needs make DAP a highly confident choice.,Sandy soil at 47 moisture will hold the DAP well unless heavy rains hit.,Apply at 30C to support robust early Barley root anchoring.,gemini-pro,DAP,true,correct,4,3,3,3,correct,4,3,3,3
FERT-055,split-0-100,31,62,63,Red,Cotton,11,12,15,gemini,model-instructions-v4,17-17-17,"Even demands of 11 N, 12 K, and 15 P for Cotton mean 17-17-17 is ideal.",A balanced NPK footprint in this Red soil confirms 17-17-17 is the right path.,High 63 moisture in Red soil requires caution to prevent root rot at 31C.,17-17-17 will provide balanced nutrition during 62% humidity phases.,gemini-pro,17-17-17,true,correct,4,3,3,3,correct,4,3,2,3
FERT-056,split-0-100,27,53,43,Black,Millets,23,0,24,gemini,model-instructions-v4,28-28,Millets demanding 23 N and 24 P in Black soil are best served by 28-28.,Confident in 28-28 due to the simultaneous moderate N and P deficits.,Black soil at 43 moisture provides excellent conditions for nutrient uptake.,Apply 28-28 to boost Millet growth under comfortable 27C weather.,gemini-pro,28-28,true,correct,4,3,3,3,correct,4,3,3,3
FERT-057,split-0-100,34,65,54,Loamy,Wheat,38,0,0,gemini,model-instructions-v4,Urea,Wheat with an extreme 38 N deficit in Loamy soil strictly dictates Urea.,The 38-0-0 profile leaves Urea as the definitive recommendation here.,Loamy soil at 54 moisture under 34C heat risks severe volatilization.,Water the field thoroughly to sink the Urea into the root zone.,gemini-pro,Urea,true,correct,4,3,1,3,correct,4,3,1,3
FERT-058,split-0-100,29,58,37,Sandy,Millets,8,0,15,gemini,model-instructions-v4,20-20,Millets needing 15 P and 8 N in Sandy soil align best with a light 20-20 application.,The moderate P and low N demand without K makes 20-20 a safe baseline.,Sandy soil at 37 moisture drains fast; split the 20-20 dose if possible.,The 29C weather is warm enough to trigger active Millets growth.,gemini-pro,20-20,true,correct,4,3,3,3,correct,4,3,3,3
FERT-059,split-0-100,25,50,56,Loamy,Sugarcane,11,13,15,gemini,model-instructions-v4,17-17-17,"Sugarcane requiring balanced 11 N, 13 K, and 15 P strongly points to 17-17-17.",Near identical NPK demands in Loamy soil make 17-17-17 the unquestioned choice.,"At 56 moisture, soil is well hydrated for Sugarcane to absorb the blend.",Cool 25C temp provides a safe window for balanced nutrition.,gemini-pro,17-17-17,true,correct,4,3,1,3,correct,4,3,1,3
FERT-060,split-0-100,32,62,34,Red,Ground Nuts,15,0,37,gemini,model-instructions-v4,DAP,Ground Nuts needing 37 P and 15 N in Red soil require the phosphorous-heavy DAP.,The near 1:3 ratio with zero potassium securely points to DAP.,Red soil at a low 34 moisture under 32C heat will severely limit nutrient mobility.,Irrigation is critical to activate the DAP for Ground Nuts.,gemini-pro,DAP,true,correct,4,3,3,3,correct,4,3,3,3
FERT-061,split-0-100,28,54,41,Clayey,Paddy,36,0,0,gemini,model-instructions-v4,Urea,Paddy in Clayey soil needing 36 N and nothing else must receive Urea.,Total lack of K/P requirements guarantees Urea is the optimal path.,Clayey conditions at 41 moisture are decent for Paddy nutrient uptake.,Optimal 28C conditions for Paddy to absorb the nitrogen spike.,gemini-pro,Urea,true,correct,4,3,1,3,correct,4,3,1,3
FERT-062,split-0-100,30,60,49,Loamy,Wheat,13,0,9,gemini,model-instructions-v4,20-20,Wheat needing exactly 13 N and 9 P in Loamy soil is perfectly suited for 20-20.,The precise low N to P deficit is exactly what 20-20 corrects.,Loamy soil at 49 moisture provides an excellent bed for 20-20 absorption.,The 30C temperature provides a good metabolic rate for Wheat to use this.,gemini-pro,20-20,true,correct,4,3,3,3,correct,4,3,3,3
FERT-063,split-0-100,34,65,64,Black,Cotton,24,0,20,gemini,model-instructions-v4,28-28,Cotton demanding 24 N and 20 P in Black soil mandates a 28-28 application.,Equal mid-range N and P without K makes 28-28 the most accurate selection.,High 64 moisture in Black soil at 34C poses a fungal risk; monitor Cotton.,Apply during 65% humidity to improve soil integration for the bolls.,gemini-pro,28-28,true,correct,4,3,3,3,correct,4,3,3,3
